title;;url;;author;;date;;tags
Can fiscal risks be eliminated with more taxing and more spending?;;https://www.dcpolicycenter.org/publications/fiscal-risks/;;Yesim Sayin Taylor;;April 10, 2017;;Articles,  Budget,  Business Conditions,  Taxes 
FIRST TAKE—Pull the trigger, the tax cuts are working;;https://www.dcpolicycenter.org/publications/first-take-pull-trigger-tax-cuts-working/;;David Brunori;;April 5, 2017;;Articles,  Business Conditions,  First Take,  Taxes 
Why visualizing open data isn’t enough;;https://www.dcpolicycenter.org/publications/visualizing-open-data-vision-zero-pedestrian-safety/;;Kate Rabinowitz;;April 3, 2017;;Articles,  Data,  DataLensDC,  Public Safety 
Who will be most affected by planned Metrobus service cuts;;https://www.dcpolicycenter.org/publications/planned-2017-metrobus-cuts-wmata/;;Randy Smith;;March 28, 2017;;Articles,  Demographics,  Transportation 
Metro should carefully consider the costs of further off-peak service cuts;;https://www.dcpolicycenter.org/publications/metro-carefully-consider-costs-off-peak-service-cuts/;;D.W. Rowlands;;March 27, 2017;;Articles,  Transportation 
Commute times for District residents are linked to income and method of transportation;;https://www.dcpolicycenter.org/publications/commute-times-for-district-residents-are-linked-to-income-and-method-of-transportation/;;Randy Smith;;March 23, 2017;;Articles,  Transportation 
Income inequality and economic mobility in D.C.;;https://www.dcpolicycenter.org/publications/income-inequality-and-economic-mobility-in-d-c/;;Grant Gregory;;March 21, 2017;;Articles,  Demographics,  Poverty and Income Inequality 
Lowering fares on MARC and VRE could increase commuter rail ridership and decrease Metrorail overcrowding;;https://www.dcpolicycenter.org/publications/lowering-fares-marc-vre-increase-commuter-rail-ridership-decrease-metrorail-overcrowding/;;D.W. Rowlands;;March 16, 2017;;Articles,  Transportation 
Food access in D.C is deeply connected to poverty and transportation;;https://www.dcpolicycenter.org/publications/food-access-dc-deeply-connected-poverty-transportation/;;Randy Smith;;March 13, 2017;;Articles,  Health,  Poverty and Income Inequality,  Transportation 
Five maps that explain the Washington region’s economy;;https://www.dcpolicycenter.org/publications/five-maps-explain-washington-regions-economy/;;Yesim Sayin Taylor;;March 13, 2017;;Articles,  Business Conditions,  Demographics,  Housing,  Workforce and the Labor Market 
Food access in D.C is deeply connected to poverty and transportation;;https://www.dcpolicycenter.org/publications/food-access-d-c-deeply-connected-poverty-transportation/;;Randy Smith;;March 13, 2017;;Articles,  Health,  Poverty and Income Inequality,  Transportation 
Searching for a dream home in D.C., and waking up to reality;;https://www.dcpolicycenter.org/publications/searching-dream-home-d-c-ben-werner-part-2/;;Ben Werner;;March 9, 2017;;Articles,  Housing 
Broadening Our Thinking on the District: The Framework for the D.C. Policy Center;;https://www.dcpolicycenter.org/publications/broadening-thinking-dc-policy-center/;;Yesim Sayin Taylor;;March 8, 2017;;Business Conditions,  Demographics,  Housing,  Workforce and the Labor Market 
FIRST TAKE – A look at D.C. tax policy proposals;;https://www.dcpolicycenter.org/publications/brunori-tax-and-budget-dc-2017/;;David Brunori;;March 2, 2017;;Articles,  Business Conditions,  First Take 
A decade of demographic change in D.C.: Which neighborhoods have changed the most?;;https://www.dcpolicycenter.org/publications/demographic-change-d-c-neighborhoods/;;Kate Rabinowitz;;March 2, 2017;;Articles,  DataLensDC,  Demographics 
WMATA plans to raise rates, but Metrorail’s fares already among highest in the country;;https://www.dcpolicycenter.org/publications/wmata-plans-raise-rates-metrorails-fares-already-among-highest-country/;;D.W. Rowlands;;March 1, 2017;;Articles,  Transportation 
From South Korea to Washington, D.C: Our journey (and house-hunt) begins;;https://www.dcpolicycenter.org/publications/searching-for-a-home-in-dc-ben-werner-part-1/;;Ben Werner;;February 25, 2017;;Articles,  Housing 
Where, When, and Why: A Guide to Homicides in 2016;;https://www.dcpolicycenter.org/publications/guide-homicides-2016/;;Randy Smith;;February 20, 2017;;Articles,  Public Safety 
