,ActNumber,Category,CommitteeReferral,CommitteeReferralComments,CouncilPeriod,Deemed,DeemedOn,DocumentUrl,Id,IntroductionDate,LawNumber,LegislationNumber,LegislationStatus,Modified,ShortTitle,Subcategory
125,R23-0033,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41938/PR23-0135-Introduction.pdf,41938,2019-02-26,,PR23-0135,Approved,2019-03-19,"Modification Nos. 5 and 6 to Contract No. DCAM-17-CS-0025J with Blue Skye Construction, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2019",Emergency Declaration Resolution
126,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-03-15,http://lims.dccouncil.us/Download/41917/GBM23-0015-Introduction.pdf,41917,2019-02-28,,GBM23-0015,Deemed Approved,2019-03-19,"FY 2019 Grant Budget Modifications of December 5, 2018",Grant Budget Modification
127,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-03-13,http://lims.dccouncil.us/Download/41913/GBM23-0014-Introduction.pdf,41913,2019-02-26,,GBM23-0014,Deemed Approved,2019-03-19,"FY 2019 Grant Budget Modifications of January 28, 2019",Grant Budget Modification
128,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-03-13,http://lims.dccouncil.us/Download/41912/GBM23-0013-Introduction.pdf,41912,2019-02-26,,GBM23-0013,Deemed Approved,2019-03-19,"FY 2019 Grant Budget Modifications of January 16, 2019",Grant Budget Modification
129,,Resolution,Committee on Judiciary and Public Safety,,23,Approved,2019-04-06,http://lims.dccouncil.us/Download/41847/PR23-0102-Introduction.pdf,41847,2019-02-06,,PR23-0102,Withdrawn,2019-03-15,Maternal Mortality Review Committee Courtney Edwards Confirmation Resolution of 2019,Proposed Resolution
130,,Oversight Hearing Record,Committee of the Whole,,23,,,,42066,2019-02-27,,HR23-0017,Under Council Review,2019-03-14,Performance Oversight Hearing: Department of Consumer and Regulatory Affairs,Oversight Hearing Record
131,,Contract,Retained by the Council,,23,Approved,2019-03-11,http://lims.dccouncil.us/Download/41920/CA23-0033-Introduction.pdf,41920,2019-02-28,,CA23-0033,Deemed Approved,2019-03-14,"Proposed Human Care Agreement to exercise Option Year one (1) with Innovative Life Solutions, Inc. ",Contract
132,,Contract,Retained by the Council,,23,Approved,2019-03-11,http://lims.dccouncil.us/Download/41919/CA23-0032-Introduction.pdf,41919,2019-02-28,,CA23-0032,Deemed Approved,2019-03-14,"Proposed contract with Systems and Methods, Inc. ",Contract
133,,Contract,Retained by the Council,,23,Approved,2019-03-11,http://lims.dccouncil.us/Download/41918/CA23-0031-Introduction.pdf,41918,2019-02-28,,CA23-0031,Deemed Approved,2019-03-14,"Proposed contract with MDB Communications, Inc. ",Contract
134,,Contract,Retained by the Council,,23,Approved,2019-03-09,,41914,2019-02-26,,CA23-0030,Deemed Approved,2019-03-14,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Stanton Housing LLC,Contract
135,,Reprogramming,Retained by the Council,,23,Approved,2019-02-19,http://lims.dccouncil.us/Download/41798/REPROG23-0005-Introduction.pdf,41798,2019-02-04,,REPROG23-0005,Deemed Approved,2019-03-13,"Request to reprogram $941,942 of Local Funds Budget Authority from Multiple Agencies to the Department of Human Resources",Reprogramming
136,A23-0006,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41864/B23-0137-Introduction.pdf,41864,2019-02-13,,B23-0137,Enacted,2019-03-13,Sports Wagering Procurement Practices Reform Exemption Emergency Amendment Act of 2019,Emergency Bill
137,ACR23-0015,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41833/CER23-0015-Introduction.pdf,41833,2019-02-04,,CER23-0015,Approved,2019-03-13,Tuskegee Airmen Commemoration Day Ceremonial Recognition of 2019,Ceremonial Resolution
138,,Bill,Committee on Transportation and the Environment,,23,,,http://lims.dccouncil.us/Download/41896/B23-0148-Introduction.pdf,41896,2019-02-19,,B23-0148,Under Council Review,2019-03-12,Transportation Benefits Equity Amendment Act of 2019,Permanent Bill
139,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41793/B23-0114-Introduction.pdf,41793,2019-02-04,,B23-0114,Under Council Review,2019-03-12,Senior Police Officer Retention Amendment Act of 2019,Permanent Bill
140,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41816/B23-0129-Introduction.pdf,41816,2019-02-05,,B23-0129,Under Council Review,2019-03-12,Veteran Retirement Income Tax Exclusion Amendment Act of 2019,Permanent Bill
141,,Bill,Committee on Transportation and the Environment,,23,,,http://lims.dccouncil.us/Download/41815/B23-0128-Introduction.pdf,41815,2019-02-05,,B23-0128,Under Council Review,2019-03-12,District Wounded Warrior Parking Permit Act of 2019,Permanent Bill
142,,Bill,Committee on Housing and Neighborhood Revitalization,,23,,,http://lims.dccouncil.us/Download/41812/B23-0125-Introduction.pdf,41812,2019-02-05,,B23-0125,Under Council Review,2019-03-12,District of Columbia Housing Authority Amendment Act of 2019,Permanent Bill
143,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41811/B23-0124-Introduction.pdf,41811,2019-02-05,,B23-0124,Under Council Review,2019-03-12,Student Loan Authority Establishment Act of 2019,Permanent Bill
144,,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41890/PR23-0124-Introduction.pdf,41890,2019-02-19,,PR23-0124,Voting Failed,2019-03-12,Fair Access to Selective High Schools Emergency Declaration Resolution of 2019,Emergency Declaration Resolution
145,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41809/B23-0122-Introduction.pdf,41809,2019-02-05,,B23-0122,Under Council Review,2019-03-12,Cashless Retailers Prohibition Act of 2019,Permanent Bill
146,,Bill,Committee on Housing and Neighborhood Revitalization,,23,,,http://lims.dccouncil.us/Download/41808/B23-0121-Introduction.pdf,41808,2019-02-05,,B23-0121,Under Council Review,2019-03-12,Housing Authority Board of Commissioners Qualifications and Expansion Amendment Act of 2019,Permanent Bill
147,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41807/B23-0120-Introduction.pdf,41807,2019-02-05,,B23-0120,Under Council Review,2019-03-12,Center for Firearm Violence Prevention Research Establishment Act of 2019,Permanent Bill
148,,Bill,Committee on Business and Economic Development,,23,,,http://lims.dccouncil.us/Download/41806/B23-0119-Introduction.pdf,41806,2019-02-05,,B23-0119,Under Council Review,2019-03-12,Insurance Claims Consumer Protection Amendment Act of 2019,Permanent Bill
149,,Bill,Committee on Business and Economic Development and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41805/B23-0118-Introduction.pdf,41805,2019-02-05,,B23-0118,Under Council Review,2019-03-12,Debt Buying Limitation Amendment Act of 2019,Permanent Bill
150,,Bill,Committee on Transportation and the Environment and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41819/B23-0132-Introduction.pdf,41819,2019-02-05,,B23-0132,Under Council Review,2019-03-12,Indoor Mold Remediation Enforcement Amendment Act of 2019,Permanent Bill
151,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41817/B23-0130-Introduction.pdf,41817,2019-02-05,,B23-0130,Under Council Review,2019-03-12,District of Columbia Office of Resilience Establishment Act of 2019,Permanent Bill
152,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41899/B23-0151-Introduction.pdf,41899,2019-02-19,,B23-0151,Under Council Review,2019-03-12,Blind Students Literacy and Education Rights Act of 2019,Permanent Bill
153,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41898/B23-0150-Introduction.pdf,41898,2019-02-19,,B23-0150,Under Council Review,2019-03-12,Dyslexia and Other Reading Disabilities Screening and Prevention Pilot Program Act of 2019,Permanent Bill
154,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41897/B23-0149-Introduction.pdf,41897,2019-02-19,,B23-0149,Under Council Review,2019-03-12,Fair Tenant Screening Act of 2019,Permanent Bill
155,,Oversight Hearing Record,Committee on Business and Economic Development,,23,,,,42057,2019-02-13,,HR23-0016,Under Council Review,2019-03-12,"Performance Oversight Hearing: Department of For-Hire Vehicles, For-Hire Vehicle Advisory Council, Department of Insurance, Securities, and Banking, and the Department of Small and Local Business Development",Oversight Hearing Record
156,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41895/B23-0147-Introduction.pdf,41895,2019-02-19,,B23-0147,Under Council Review,2019-03-12,Office on Deaf and Hard of Hearing Establishment Amendment Act of 2019,Permanent Bill
157,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41894/B23-0146-Introduction.pdf,41894,2019-02-19,,B23-0146,Under Council Review,2019-03-12,Open Movie Captioning Requirement Act of 2019,Permanent Bill
158,,Bill,Committee on Health and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41893/B23-0145-Introduction.pdf,41893,2019-02-19,,B23-0145,Under Council Review,2019-03-12,District of Columbia Psychology Interjurisdictional Compact Act of 2019,Permanent Bill
159,,Oversight Hearing Record,Committee on Human Services,,23,,,,42056,2019-02-21,,HR23-0015,Under Council Review,2019-03-12,Performance Oversight Hearing: Office of Disability Rights and Department on Disability Services,Oversight Hearing Record
160,,Oversight Hearing Record,Committee on Housing and Neighborhood Revitalization,,23,,,,42055,2019-02-07,,HR23-0014,Under Council Review,2019-03-12,"Performance Oversight Hearing: Housing Finance Agency, Real Estate Commission, Board of Real Estate Appraisers, Rental Housing Commission and Office of Tenant Advocate",Oversight Hearing Record
161,,Oversight Hearing Record,Committee on Transportation and the Environment,,23,,,,42054,2019-02-15,,HR23-0013,Under Council Review,2019-03-12,"Performance Oversight Hearing: Food Policy Council, and Department of Public Works ",Oversight Hearing Record
162,,Oversight Hearing Record,Committee on Government Operations,,23,,,,42052,2019-02-07,,HR23-0012,Under Council Review,2019-03-12,"Performance Oversight Hearing: Executive Office of the Mayor, Office of the Senior Advisor, Mayor's Office of Legal Counsel, Office of the City Administrator, Secretary of the District of Columbia and Office of Partnerships and Grants",Oversight Hearing Record
163,,Oversight Hearing Record,Committee on Housing and Neighborhood Revitalization,,23,,,,42051,2019-02-14,,HR23-0011,Under Council Review,2019-03-12,"Performance Oversight Hearing: Age-Friendly DC Task Force, Commission on Aging, and DC Office on Aging",Oversight Hearing Record
164,,Oversight Hearing Record,Committee on Facilities and Procurement,,23,,,,42050,2019-02-27,,HR23-0010,Under Council Review,2019-03-12,Performance Oversight Hearing: Office of Contracting and Procurement Contract Appeals Board,Oversight Hearing Record
165,A23-0016,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41787/B23-0112-Introduction.pdf,41787,2019-02-04,,B23-0112,Enacted,2019-03-11,Board of Elections Domicile Requirement Congressional Review Emergency Amendment Act of 2019,Congressional Review Emergency Bill
166,,Oversight Hearing Record,Committee on Facilities and Procurement,,23,,,,42030,2019-02-28,,HR23-0009,Under Council Review,2019-03-08,Performance Oversight Hearing: Department of General Services,Oversight Hearing Record
167,,Oversight Hearing Record,Committee on Transportation and the Environment,,23,,,,42029,2019-02-14,,HR23-0008,Under Council Review,2019-03-08,Performance Oversight Hearing: Commission on Climate Change and Resiliency and Department of Energy and Environment,Oversight Hearing Record
168,,Oversight Hearing Record,Committee on Government Operations,,23,,,,42028,2019-02-22,,HR23-0007,Under Council Review,2019-03-08,"Performance Oversight Hearing: Serve DC, Office of Nightlife and Culture, Office of Public-Private Partnerships",Oversight Hearing Record
169,,Oversight Hearing Record,Committee on Government Operations,,23,,,,42027,2019-02-13,,HR23-0006,Under Council Review,2019-03-08,"Performance Oversight Hearing: Mayor's Office on Women's Policy and Initiatives, Mayor's Office of Veterans' Affairs, Mayor's Office of Lesbian, Gay, Bisexual, Transgender & Questioning Affairs",Oversight Hearing Record
170,,Oversight Hearing Record,Committee on Government Operations,,23,,,,42026,2019-02-28,,HR23-0005,Under Council Review,2019-03-08,"Performance Oversight Hearing: Office of the Inspector General, Office of the Chief Technology Officer, Office of Administrative Hearings, Office of Human Rights and Office of Risk Management",Oversight Hearing Record
171,,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41966/B23-0168-Introduction.pdf,41966,2019-02-28,,B23-0168,Under Council Review,2019-03-06,Old Hardy School Disposition and Lease Approval Temporary Act of 2019,Temporary Bill
172,,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41965/B23-0167-Introduction.pdf,41965,2019-02-28,,B23-0167,Under Council Review,2019-03-06,Old Hardy School Disposition and Lease Approval Emergency Act of 2019,Emergency Bill
173,,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41963/PR23-0150-Introduction.pdf,41963,2019-02-28,,PR23-0150,Under Council Review,2019-03-05,Old Hardy School Disposition and Lease Approval Emergency Declaration Resolution of 2019,Emergency Declaration Resolution
174,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41907/CA23-0029-Introduction.pdf,41907,2019-02-21,,CA23-0029,Deemed Approved,2019-03-05,Proposed grant to be made by DPR to the Capitol Riverfront Business Improvement District (BID),Contract
175,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41906/CA23-0028-Introduction.pdf,41906,2019-02-21,,CA23-0028,Deemed Approved,2019-03-05,"Proposed contract with Corporate Systems Resources, Inc. ",Contract
176,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41905/CA23-0027-Introduction.pdf,41905,2019-02-21,,CA23-0027,Deemed Approved,2019-03-05,Proposed contract to exercise Option Year Four (4) with Sustainable Facilities Management Services ,Contract
177,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41904/CA23-0026-Introduction.pdf,41904,2019-02-21,,CA23-0026,Deemed Approved,2019-03-05,Proposed contract to exercise Option Year One (1) with Sharp Electronics Corporation ,Contract
178,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41903/CA23-0025-Introduction.pdf,41903,2019-02-21,,CA23-0025,Deemed Approved,2019-03-05,"Proposed contract with Tricon of Washington DC, Inc. ",Contract
179,,Contract,Retained by the Council,,23,Approved,2019-03-04,http://lims.dccouncil.us/Download/41902/CA23-0024-Introduction.pdf,41902,2019-02-21,,CA23-0024,Deemed Approved,2019-03-05,"Proposed contract to exercise Option Year One (1) with The Robert Bobb Group, LLC ",Contract
180,,Contract,Retained by the Council,,23,Approved,2019-03-01,http://lims.dccouncil.us/Download/41892/CA23-0023-Introduction.pdf,41892,2019-02-15,,CA23-0023,Deemed Approved,2019-03-05,Proposed contract with Turner Construction Company ,Contract
181,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-02-22,http://lims.dccouncil.us/Download/41824/GBM23-0012-Introduction.pdf,41824,2019-02-07,,GBM23-0012,Deemed Approved,2019-03-05,"FY 2019 Grant Budget Modifications of January 30, 2019",Grant Budget Modification
182,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-02-22,http://lims.dccouncil.us/Download/41823/GBM23-0011-Introduction.pdf,41823,2019-02-07,,GBM23-0011,Deemed Approved,2019-03-05,"FY 2019 Grant Budget Modifications of January 24, 2019",Grant Budget Modification
183,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-02-22,http://lims.dccouncil.us/Download/41822/GBM23-0010-Introduction.pdf,41822,2019-02-07,,GBM23-0010,Deemed Approved,2019-03-05,"FY 2019 Grant Budget Modifications of January 22, 2019",Grant Budget Modification
184,,Contract,Retained by the Council,,23,Approved,2019-02-25,,41874,2019-02-14,,CA23-0022,Deemed Approved,2019-03-05,"Proposed contract with Summit Food Service, LLC ",Contract
185,,Contract,Retained by the Council,,23,Approved,2019-02-25,http://lims.dccouncil.us/Download/41872/CA23-0021-Introduction.pdf,41872,2019-02-14,,CA23-0021,Deemed Approved,2019-03-05,"Proposed contract to exercise Option Year Three (3) with IMA Professional Services of DC, PC (IMA) ",Contract
186,,Contract,Retained by the Council,,23,Approved,2019-02-24,,41871,2019-02-13,,CA23-0020,Deemed Approved,2019-03-05,"Proposed contract to exercise Option Year One (1) with Global, Inc. ",Contract
187,,Contract,Retained by the Council,,23,Approved,2019-02-21,,41860,2019-02-08,,CA23-0019,Deemed Approved,2019-03-05,"Proposed contract with Sagitec Solutions, LLC ",Contract
188,R23-0029,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41863/PR23-0112-Introduction.pdf,41863,2019-02-13,,PR23-0112,Approved,2019-03-04,Sports Wagering Procurement Practices Reform Exemption Emergency Declaration Resolution of 2019,Emergency Declaration Resolution
189,R23-0028,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41877/PR23-0119-Introduction.pdf,41877,2019-02-11,,PR23-0119,Approved,2019-03-04,"Modifications to Contract No. CW50466 with KPMG, LLP Approval and Payment Authorization Emergency Declaration Resolution of 2019",Emergency Declaration Resolution
190,A23-0015,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41795/B23-0115-Introduction.pdf,41795,2019-02-04,,B23-0115,Enacted,2019-03-04,Parent-led Cooperative Congressional Review Emergency Amendment Act of 2019,Congressional Review Emergency Bill
191,,Report,,,23,,,http://lims.dccouncil.us/Download/41916/AU23-0005-Introduction.pdf,41916,2019-02-27,,AU23-0005,Under Council Review,2019-02-27,Seventy-Seven Percent of District of Columbia Auditor Recommendations Implemented or In Progress,Auditor
192,,Report,,,23,,,http://lims.dccouncil.us/Download/41915/AU23-0004-Introduction.pdf,41915,2019-02-14,,AU23-0004,Under Council Review,2019-02-27,CORRECTION - Management Alert: District Government Not in Compliance with Statutory Performance Budget Requirements,Auditor
193,,Report,,,23,,,http://lims.dccouncil.us/Download/41911/RC23-0035-Introduction.pdf,41911,2019-02-26,,RC23-0035,Under Council Review,2019-02-26,Correspondence from the Mayor - DOES Office of Workers' Compensation Annual Report Fiscal Year 2018,Other
194,,Report,,,23,,,http://lims.dccouncil.us/Download/41910/RC23-0034-Introduction.pdf,41910,2019-02-25,,RC23-0034,Under Council Review,2019-02-25,"Correspondence from the Mayor - Annual Freedom of Information Act Report for Fiscal Year 2018 (October 1, 2017 through September 30, 2018)",Other
195,,Report,,,23,,,http://lims.dccouncil.us/Download/41909/IG23-0017-Introduction.pdf,41909,2019-02-25,,IG23-0017,Under Council Review,2019-02-25,Government of the District of Columbia: Best Practice Recommendations for Fiscal Year 2018,Inspector General
196,,Report,,,23,,,http://lims.dccouncil.us/Download/41839/RC23-0028-Introduction.pdf,41839,2019-02-08,,RC23-0028,Under Council Review,2019-02-25,"Correspondence from the Mayor - Annual Freedom of Information Act Report for Fiscal Year 2018 (October 1, 2017 through September 30, 2018)",Other
197,,Contract,Retained by the Council,,23,Approved,2019-02-15,http://lims.dccouncil.us/Download/41800/CA23-0018-Introduction.pdf,41800,2019-02-04,,CA23-0018,Deemed Approved,2019-02-25,"Proposed contract with First Choice Masonry, Inc. ",Contract
198,,Contract,Retained by the Council,,23,Approved,2019-02-15,http://lims.dccouncil.us/Download/41799/CA23-0017-Introduction.pdf,41799,2019-02-04,,CA23-0017,Deemed Approved,2019-02-25,"Proposed contract to exercise Option Year One (1) with Chaedrol, LLC ",Contract
199,,Resolution,Committee on Transportation and the Environment,,23,,,http://lims.dccouncil.us/Download/41886/PR23-0123-Introduction.pdf,41886,2019-02-14,,PR23-0123,Under Council Review,2019-02-25,Food Policy Council Emil Reyes Confirmation Resolution of 2019,Proposed Resolution
200,,Resolution,Committee on Transportation and the Environment,,23,,,http://lims.dccouncil.us/Download/41885/PR23-0122-Introduction.pdf,41885,2019-02-14,,PR23-0122,Under Council Review,2019-02-25,Food Policy Council Evangelos (Spike) Mendelsohn Confirmation Resolution of 2019,Proposed Resolution
201,,Resolution,Committee on Health,,23,Approved,2019-04-06,http://lims.dccouncil.us/Download/41868/PR23-0116-Introduction.pdf,41868,2019-02-11,,PR23-0116,Deemed Approved,2019-02-25,Health Benefit Exchange Authority Executive Board Tamara L. Watkins Confirmation Resolution of 2019,Proposed Resolution
202,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-02-19,http://lims.dccouncil.us/Download/41797/GBM23-0009-Introduction.pdf,41797,2019-02-04,,GBM23-0009,Deemed Approved,2019-02-25,"FY 2019 Grant Budget Modifications of January 9, 2019",Grant Budget Modification
203,,Grant Budget Modification,Retained by the Council,,23,Approved,2019-02-19,http://lims.dccouncil.us/Download/41796/GBM23-0008-Introduction.pdf,41796,2019-02-04,,GBM23-0008,Deemed Approved,2019-02-25,"FY 2019 Grant Budget Modifications of January 8, 2019",Grant Budget Modification
204,,Report,,,23,,,http://lims.dccouncil.us/Download/41908/RC23-0033-Introduction.pdf,41908,2019-02-22,,RC23-0033,Under Council Review,2019-02-22,Correspondence from the Mayor - Youth Bullying Prevention in the District of Columbia School Year 2017-2018 Report,Other
205,,Report,,,23,,,http://lims.dccouncil.us/Download/41901/RC23-0032-Introduction.pdf,41901,2019-02-21,,RC23-0032,Under Council Review,2019-02-22,Correspondence from the Mayor - Youth Bullying Prevention in the District of Columbia School Year 2017-2018 Report,Other
206,ACR23-0016,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41834/CER23-0016-Introduction.pdf,41834,2019-02-04,,CER23-0016,Approved,2019-02-21,LaShada Ham-Campbell Petit Scholars Ceremonial Resolution of 2019,Ceremonial Resolution
207,R23-0013,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41794/PR23-0093-Introduction.pdf,41794,2019-02-04,,PR23-0093,Approved,2019-02-21,Parent-led Cooperative Congressional Review Emergency Declaration Resolution of 2019,Congressional Review Emer. Decl. Resolution
208,R23-0012,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41785/PR23-0092-Introduction.pdf,41785,2019-02-04,,PR23-0092,Approved,2019-02-21,Board of Elections Domicile Requirement Congressional Review Emergency Declaration Resolution of 2019,Congressional Review Emer. Decl. Resolution
209,,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41804/PR23-0094-Introduction.pdf,41804,2019-02-05,,PR23-0094,Under Council Review,2019-02-21,Sense of the Council Supporting the National Cherry Blossom Festival Resolution of 2019,Proposed Resolution
210,,Report,,,23,,,http://lims.dccouncil.us/Download/41876/RC23-0031-Introduction.pdf,41876,2019-02-14,,RC23-0031,Under Council Review,2019-02-14,Correspondence from the Mayor - DHS Adult Protection Services FY16 Annual Report,Other
211,,Report,,,23,,,http://lims.dccouncil.us/Download/41875/RC23-0030-Introduction.pdf,41875,2019-02-14,,RC23-0030,Under Council Review,2019-02-14,Correspondence from the Mayor - DHS Interim Eligibility Report for FY2018 (October 2017 - September 2018),Other
212,,Report,,,23,,,http://lims.dccouncil.us/Download/41862/AU23-0003-Introduction.pdf,41862,2019-02-13,,AU23-0003,Under Council Review,2019-02-13,Management Alert: District Government Not in Compliance with Statutory Performance Budget Requirements,Auditor
213,,Report,,,23,,,http://lims.dccouncil.us/Download/41861/RC23-0029-Introduction.pdf,41861,2019-02-12,,RC23-0029,Under Council Review,2019-02-12,"Correspondence from the Mayor - DFHV Public Vehicles For-Hire Consumer Service Fund FY18 Monthly Revenue Report, September 2018",Other
214,,Report,,,23,,,http://lims.dccouncil.us/Download/41838/RC23-0027-Introduction.pdf,41838,2019-02-08,,RC23-0027,Under Council Review,2019-02-08,Correspondence from the Mayor - DFHV Public Vehicles For-Hire Consumer Service Fund: FY19 Monthly Revenue Report - October 2018,Other
215,,Report,,,23,,,http://lims.dccouncil.us/Download/41837/RC23-0026-Introduction.pdf,41837,2019-02-08,,RC23-0026,Under Council Review,2019-02-08,Correspondence from the Mayor - Report on Felony Crime in the District of Columbia for 2017,Other
216,,Agenda,,,23,,,http://lims.dccouncil.us/Download/41836/AG23-0003-Agenda.pdf,41836,2019-02-05,,AG23-0003,Under Council Review,2019-02-08,THIRD LEGISLATIVE MEETING,Agenda
217,,Report,,,23,,,http://lims.dccouncil.us/Download/41821/IG23-0016-Introduction.pdf,41821,2019-02-06,,IG23-0016,Under Council Review,2019-02-06,Government of the District of Columbia: Management Recommendations for Fiscal Year 2018,Inspector General
218,,Report,,,23,,,http://lims.dccouncil.us/Download/41803/CFO23-0002-Introduction.pdf,41803,2019-02-04,,CFO23-0002,Under Council Review,2019-02-05,"OIO Audit of the Inmate Welfare Fund Financial Statements for Fiscal Year Ended September 30, 2018",Chief Financial Officer
219,,Report,,,23,,,http://lims.dccouncil.us/Download/41788/RC23-0022-Introduction.pdf,41788,2019-02-04,,RC23-0022,Under Council Review,2019-02-04,Correspondence from the Mayor - FEMS Emergency Medical Services Transport Contract Authority Bi-Annual (April - September 2018),Other
220,,Report,,,23,,,http://lims.dccouncil.us/Download/41789/RC23-0023-Introduction.pdf,41789,2019-02-04,,RC23-0023,Under Council Review,2019-02-04,"Correspondence from the Mayor - MPD A Report on MPD's Use of Body-Worn Cameras, January 1 - June 30, 2018",Other
221,,Report,,,23,,,http://lims.dccouncil.us/Download/41790/RC23-0024-Introduction.pdf,41790,2019-02-04,,RC23-0024,Under Council Review,2019-02-04,"Correspondence from the Mayor - MPD A Report on MPD's Use of Body-Worn Cameras, July 1 - December 31, 2017",Other
222,,Report,,,23,,,http://lims.dccouncil.us/Download/41791/RC23-0025-Introduction.pdf,41791,2019-02-04,,RC23-0025,Under Council Review,2019-02-04,Correspondence from the Mayor - ONSE A Report on the Safer Stronger DC Office of Neighborhood Safety and Engagement's Pathways Program for 2018,Other
223,,Report,,,23,,,http://lims.dccouncil.us/Download/41786/RC23-0021-Introduction.pdf,41786,2019-02-01,,RC23-0021,Under Council Review,2019-02-04,Correspondence from the SBOE - 2018 Annual Report,Other
224,,Report,,,23,,,http://lims.dccouncil.us/Download/41764/IG23-0012-Introduction.pdf,41764,2019-02-01,,IG23-0012,Under Council Review,2019-02-01,"Unemployment Compensation Fund: Financial Statements And Management's Discussion And Analysis (With Independent Public Accountants) For Fiscal Years Ended September 30, 2018 And 2017",Inspector General
225,,Report,,,23,,,http://lims.dccouncil.us/Download/41770/RC23-0020-Introduction.pdf,41770,2019-02-01,,RC23-0020,Under Council Review,2019-02-01,"Correspondence from the Mayor - OSSE Report on the Uniform Per Student Funding Formula, January 2019",Other
226,,Report,,,23,,,http://lims.dccouncil.us/Download/41766/IG23-0014-Introduction.pdf,41766,2019-02-01,,IG23-0014,Under Council Review,2019-02-01,"University Of The District Of Columbia: Basic Financial Statements (With Report Of Independent Public Accountants) For Fiscal Years Ended September 30, 2018 And 2017",Inspector General
227,,Report,,,23,,,http://lims.dccouncil.us/Download/41765/IG23-0013-Introduction.pdf,41765,2019-02-01,,IG23-0013,Under Council Review,2019-02-01,"Not-For-Profit Hospital Corporation United Medical Center: Financial Statements (With Reports Of Independent Public Accountants) For Fiscal Years Ended September 30, 2018 And 2017",Inspector General
228,,Report,,,23,,,http://lims.dccouncil.us/Download/41763/IG23-0011-Introduction.pdf,41763,2019-02-01,,IG23-0011,Under Council Review,2019-02-01,"District Of Columbia Settlement Financial Corporation: Financial Statements  (With Independent Public Auditors Report) For Fiscal Years Ended September 30, 2018",Inspector General
229,,Report,,,23,,,http://lims.dccouncil.us/Download/41762/IG23-0010-Introduction.pdf,41762,2019-02-01,,IG23-0010,Under Council Review,2019-02-01,"Other Post-Employment Benefits Fund: Financial Statement And Management's Discussion And Analysis (With Report Of Independent Public Accountants)For Fiscal Years Ended September 30, 2018 And 2017",Inspector General
230,,Report,,,23,,,http://lims.dccouncil.us/Download/41761/IG23-0009-Introduction.pdf,41761,2019-02-01,,IG23-0009,Under Council Review,2019-02-01,"Home Purchase Assistance Program Fraud: Financial Statements And Management's Discussion And Analysis (With Report Of Independent Public Accountants) For Fiscal Years Ended September 30, 2018 And 2017",Inspector General
